Property,Type,Units,Description,URL
"cell_gamma, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the cell angle gamma sampling.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"density#LAMMPS#{model}",float,g/mL,"The density.",https://en.wikipedia.org/wiki/Density
"density, stderr#LAMMPS#{model}",float,g/mL,"The standard error of the density.",https://en.wikipedia.org/wiki/Standard_error
"density, tau#LAMMPS#{model}",float,fs,"The autocorrelation time of the density.",https://en.wikipedia.org/wiki/Autocorrelation
"density, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the density sampling.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"DfH0_reax#LAMMPS#{model}",float,kcal/mol,"The Reax approximation to enthalpy of formation",https://en.wikipedia.org/wiki/Standard_enthalpy_of_formation
"volume#LAMMPS#{model}",float,g/mL,"The volume.",https://en.wikipedia.org/wiki/volume
"volume, stderr#LAMMPS#{model}",float,g/mL,"The standard error of the volume.",https://en.wikipedia.org/wiki/Standard_error
"volume, tau#LAMMPS#{model}",float,fs,"The autocorrelation time of the volume.",https://en.wikipedia.org/wiki/Autocorrelation
"volume, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the volume sampling.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"pressure#LAMMPS#{model}",float,atm,"The pressure.",https://en.wikipedia.org/wiki/Pressure
"pressure, stderr#LAMMPS#{model}",float,atm,"The standard error of the pressure.",https://en.wikipedia.org/wiki/Standard_error
"pressure, tau#LAMMPS#{model}",float,fs,"The autocorrelation time of the pressure.",https://en.wikipedia.org/wiki/Autocorrelation
"pressure, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the pressure sampling.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"Sxx#LAMMPS#{model}",float,atm,"The stress.",https://en.wikipedia.org/wiki/Stress_(mechanics)
"Sxx, stderr#LAMMPS#{model}",float,atm,"The standard error of the stress.",https://en.wikipedia.org/wiki/Standard_error
"Sxx, tau#LAMMPS#{model}",float,fs,"The autocorrelation time of the stress.",https://en.wikipedia.org/wiki/Autocorrelation
"Sxx, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the stress sampling.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"Syy#LAMMPS#{model}",float,atm,"The stress.",https://en.wikipedia.org/wiki/Stress_(mechanics)
"Syy, stderr#LAMMPS#{model}",float,atm,"The standard error of the stress.",https://en.wikipedia.org/wiki/Standard_error
"Syy, tau#LAMMPS#{model}",float,fs,"The autocorrelation time of the stress.",https://en.wikipedia.org/wiki/Autocorrelation
"Syy, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the stress sampling.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"Szz#LAMMPS#{model}",float,atm,"The stress.",https://en.wikipedia.org/wiki/Stress_(mechanics)
"Szz, stderr#LAMMPS#{model}",float,atm,"The standard error of the stress.",https://en.wikipedia.org/wiki/Standard_error
"Szz, tau#LAMMPS#{model}",float,fs,"The autocorrelation time of the stress.",https://en.wikipedia.org/wiki/Autocorrelation
"Szz, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the stress sampling.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"Sxy#LAMMPS#{model}",float,atm,"The stress.",https://en.wikipedia.org/wiki/Stress_(mechanics)
"Sxy, stderr#LAMMPS#{model}",float,atm,"The standard error of the stress.",https://en.wikipedia.org/wiki/Standard_error
"Sxy, tau#LAMMPS#{model}",float,fs,"The autocorrelation time of the stress.",https://en.wikipedia.org/wiki/Autocorrelation
"Sxy, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the stress sampling.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"Sxz#LAMMPS#{model}",float,atm,"The stress.",https://en.wikipedia.org/wiki/Stress_(mechanics)
"Sxz, stderr#LAMMPS#{model}",float,atm,"The standard error of the stress.",https://en.wikipedia.org/wiki/Standard_error
"Sxz, tau#LAMMPS#{model}",float,fs,"The autocorrelation time of the stress.",https://en.wikipedia.org/wiki/Autocorrelation
"Sxz, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the stress sampling.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"Syz#LAMMPS#{model}",float,atm,"The stress.",https://en.wikipedia.org/wiki/Stress_(mechanics)
"Syz, stderr#LAMMPS#{model}",float,atm,"The standard error of the stress.",https://en.wikipedia.org/wiki/Standard_error
"Syz, tau#LAMMPS#{model}",float,fs,"The autocorrelation time of the stress.",https://en.wikipedia.org/wiki/Autocorrelation
"Syz, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the stress sampling.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"temperature#LAMMPS#{model}",float,K,"The temperature.",https://en.wikipedia.org/wiki/Temperature
"temperature, stderr#LAMMPS#{model}",float,K,"The standard error of the temperature.",https://en.wikipedia.org/wiki/Standard_error
"temperature, tau#LAMMPS#{model}",float,fs,"The autocorrelation time of the temperature.",https://en.wikipedia.org/wiki/Autocorrelation
"temperature, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the temperature sampling.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"total energy#LAMMPS#{model}",float,kJ/mol,"The {model} total energy.",
"total energy, stderr#LAMMPS#{model}",float,kJ/mol,"The standard error of the {model} total energy.",https://en.wikipedia.org/wiki/Standard_error
"total energy, tau#LAMMPS#{model}",float,fs,"The autocorellation time of the {model} total energy.",https://en.wikipedia.org/wiki/Autocorrelation
"total energy, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the {model} total energy.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"kinetic energy#LAMMPS#{model}",float,kJ/mol,"The {model} kinetic energy.",https://en.wikipedia.org/wiki/Kinetic_energy
"kinetic energy, stderr#LAMMPS#{model}",float,kJ/mol,"The standard error of the {model} kinetic energy.",https://en.wikipedia.org/wiki/Standard_error
"kinetic energy, tau#LAMMPS#{model}",float,fs,"The autocorellation time of the {model} kinetic energy.",https://en.wikipedia.org/wiki/Autocorrelation
"kinetic energy, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the {model} kinetic energy.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
"potential energy#LAMMPS#{model}",float,kJ/mol,"The {model} potential energy.",https://en.wikipedia.org/wiki/Potential_energy
"potential energy, stderr#LAMMPS#{model}",float,kJ/mol,"The standard error of the {model} potential energy.",https://en.wikipedia.org/wiki/Standard_error
"potential energy, tau#LAMMPS#{model}",float,fs,"The autocorellation time of the {model} potential energy.",https://en.wikipedia.org/wiki/Autocorrelation
"potential energy, inefficiency#LAMMPS#{model}",float,,"The statistical inefficiency of the {model} potential energy.",https://en.wikipedia.org/wiki/Efficiency_(statistics)
